window,MAE,MSE,R2,MMRE
1,0.8421052631578947,2.315789473684211,0.022222222222222254,0.4364035087719298
2,0.8157894736842105,1.8684210526315794,-0.035700575815739155,0.35526315789473684
3,1.2105263157894737,3.263157894736843,-0.1302470616454785,0.5986842105263158
4,0.8947368421052632,1.5263157894736843,0.08013355592654436,0.4728070175438595
5,0.8947368421052632,1.368421052631579,-0.7440423654015886,0.607017543859649
6,0.868421052631579,1.236842105263158,0.06394129979035623,0.4719298245614034
7,0.7105263157894739,1.131578947368421,-0.3009554140127386,0.40877192982456156
8,1.0263157894736843,1.9736842105263166,-0.34370579915134436,0.4039473684210527
9,1.0526315789473684,2.210526315789474,-0.037374065648358545,0.5269736842105263
10,1.236842105263158,3.026315789473685,-0.07715060389450312,0.5618421052631579
11,1.368421052631579,3.263157894736843,-0.17301468757779448,0.775
